species,name,c3.c4,crop.wild,tissue,fol.ed,study.type,ea.co2,eco2,aco2,plus.co2,add.info,lat,long,region,country,reference,n,element,delta,log.r
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,Ca,-0.1111,-0.1178
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,Fe,-0.0661,-0.0684
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,K,-0.0968,-0.1018
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,Mg,-0.0909,-0.0953
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,Mn,-0.2025,-0.2263
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,N,-0.1719,-0.1886
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,P,-0.0667,-0.069
Acer rubrum ,red maple tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,C,0.0022,0.0022
Acer rubrum ,red maple tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,N,-0.0253,-0.0256
Acer rubrum ,red maple tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,P,0.0583,0.0567
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,Ca,0.0721,0.0696
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,K,-0.1597,-0.174
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,Mg,-0.2741,-0.3203
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,N,-0.1297,-0.1389
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,P,0.0872,0.0836
Agrostis capillaris,grass,C3,WLD,above ground,F,chamber,610/360,610,360,250,avg of 10 treatments,,,,,Newbery 1995,30,C,0.0146,0.0145
Agrostis capillaris,grass,C3,WLD,above ground,F,chamber,610/360,610,360,250,avg of 10 treatments,,,,,Newbery 1995,30,K,-0.3903,-0.4948
Agrostis capillaris,grass,C3,WLD,above ground,F,chamber,610/360,610,360,250,avg of 10 treatments,,,,,Newbery 1995,30,N,-0.0927,-0.0973
Agrostis capillaris,grass,C3,WLD,above ground,F,chamber,610/360,610,360,250,avg of 10 treatments,,,,,Newbery 1995,30,P,-0.1391,-0.1498
Alnus glutinosa ,alder tree,C3,WLD,foliar,F,OTC,700/350,700,350,350,the last (Aug 1996) sampling,56.2,-3.6,Perthshire,UK,Temperton et al 2003,4,N,-0.0345,-0.0351
Alnus glutinosa ,alder tree,C3,WLD,foliar,F,OTC,700/350,700,350,350,the last (Aug 1996) sampling,56.2,-3.6,Perthshire,UK,Temperton et al 2003,4,P,-0.0455,-0.0466
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,Ca,-0.0304,-0.0309
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,Ca,-0.0141,-0.0142
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,K,-0.0236,-0.0239
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,K,0.0144,0.0143
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,N,-0.2624,-0.3044
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,N,-0.2348,-0.2676
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,Na,-0.491,-0.6753
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,Na,-0.3834,-0.4835
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,P,0.0346,0.034
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,P,-0.0923,-0.0968
Ambrosia dumosa,shrub,C3,WLD,foliar,F,FACE,550/370,550,370,180,avg of rainfalls,36.65,-112.92,Nevada,USA,Housman et al 2012,9,Mn,-0.23,-0.2613
Ambrosia dumosa,shrub,C3,WLD,foliar,F,FACE,550/370,550,370,180,avg of rainfalls,36.65,-112.92,Nevada,USA,Housman et al 2012,9,N,-0.1019,-0.1075
Ambrosia dumosa,shrub,C3,WLD,foliar,F,FACE,550/370,550,370,180,avg of rainfalls,36.65,-112.92,Nevada,USA,Housman et al 2012,9,P,-0.1177,-0.1252
Ambrosia dumosa,shrub,C3,WLD,foliar,F,FACE,550/370,550,370,180,avg of rainfalls,36.65,-112.92,Nevada,USA,Housman et al 2012,9,Zn,0.6235,0.4846
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,B,-0.039,-0.0398
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,Ca,-0.023,-0.0233
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,K,-0.085,-0.0888
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,Mg,-0.1,-0.1054
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,N,-0.0909,-0.0953
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,P,-0.058,-0.0598
Arabidopsis thaliana,thale cress,C3,WLD,shoots,F,chamber,800/350,800,350,450,NH4,,,,,Niu et al 2013,5,P,-0.265,-0.3079
Arabidopsis thaliana,thale cress,C3,WLD,shoots,F,chamber,800/350,800,350,450,NO3,,,,,Niu et al 2013,5,P,0.314,0.2731
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,C,0.107,0.1017
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,Ca,-0.192,-0.2132
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,K,-0.207,-0.2319
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,Mg,-0.148,-0.1602
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,N,-0.112,-0.1188
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,P,-0.179,-0.1972
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,B,-0.012,-0.0121
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Ca,-0.1217,-0.1298
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Cu,-0.179,-0.1972
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,K,-0.1354,-0.1455
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Mg,-0.0881,-0.0922
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Mn,0.0246,0.0243
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,N,-0.1498,-0.1622
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,P,-0.037,-0.0377
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,S,-0.1761,-0.1937
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Zn,-0.1575,-0.1714
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,20010-11,28.67,77.2,New Delhi,India,Singh et al 2013,3,Ca,-0.0488,-0.05
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,2009-10,28.67,77.2,New Delhi,India,Singh et al 2013,3,Ca,-0.122,-0.1301
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,20010-11,28.67,77.2,New Delhi,India,Singh et al 2013,3,Fe,-0.0766,-0.0797
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,2009-10,28.67,77.2,New Delhi,India,Singh et al 2013,3,Fe,-0.0768,-0.0799
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,20010-11,28.67,77.2,New Delhi,India,Singh et al 2013,3,Mg,-0.0857,-0.0896
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,2009-10,28.67,77.2,New Delhi,India,Singh et al 2013,3,Mg,-0.0606,-0.0625
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,20010-11,28.67,77.2,New Delhi,India,Singh et al 2013,3,S,-0.0851,-0.0889
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,2009-10,28.67,77.2,New Delhi,India,Singh et al 2013,3,S,-0.0682,-0.0706
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,20010-11,28.67,77.2,New Delhi,India,Singh et al 2013,3,Zn,-0.0683,-0.0707
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,2009-10,28.67,77.2,New Delhi,India,Singh et al 2013,3,Zn,-0.119,-0.1267
Brassica napus 'Qinyou 8',rapeseed,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-H,,,,,Tian et al 2013,2,Cu,0.153,0.1424
Brassica napus 'Qinyou 8',rapeseed,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-L,,,,,Tian et al 2013,2,Cu,0.196,0.179
Brassica napus 'Rongyou 10',rapeseed,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-H,,,,,Tian et al 2013,2,Cu,0.304,0.2654
Brassica napus 'Rongyou 10',rapeseed,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-L,,,,,Tian et al 2013,2,Cu,0.08,0.077
Brassica napus 'Zhongyouza 12',rapeseed,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-H,,,,,Tian et al 2013,2,Cu,0.109,0.1035
Brassica napus 'Zhongyouza 12',rapeseed,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-L,,,,,Tian et al 2013,2,Cu,0.049,0.0478
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Al,0.618,0.4812
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,B,-0.041,-0.0419
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Ba,-0.09,-0.0943
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Ca,-0.015,-0.0151
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Cd,-0.188,-0.2083
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Cu,-0.001,-0.001
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Fe,0.01,0.01
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,K,0.003,0.003
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Mg,0.008,0.008
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Mn,-0.026,-0.0263
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Mo,0.114,0.108
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Na,0.001,0.001
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Ni,-0.08,-0.0834
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,P,0.018,0.0178
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Pb,-0.284,-0.3341
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,S,-0.061,-0.0629
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Se,0.455,0.375
Brassica napus 'Campino',oilseed rape,C3,CRP,seed,E,FACE,494/388,494,388,106,mini-FACE,48.7,9.18,Hohenheim,Germany,Hogy et al 2010,4,Zn,-0.056,-0.0576
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,C,0.2082,0.1891
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Ca,-0.095,-0.0998
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Cd,0.0342,0.0336
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Cr,0.1546,0.1438
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Cu,0.1592,0.1477
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Fe,-0.1867,-0.2067
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,K,0.0245,0.0242
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Mg,-0.0374,-0.0381
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Mn,0.1018,0.0969
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,N,-0.1817,-0.2005
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Ni,-0.0411,-0.042
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Pb,0.052,0.0507
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,S,0.2533,0.2258
Brassica rapa 'Grabe',turnip,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Zn,-0.2457,-0.282
Bromus tectorum,cheatgrass,C3,WLD,above ground,F,chamber,420/270,420,270,150, ,,,,,Blank et al 2006,5,Ca,-0.145,-0.1567
Bromus tectorum,cheatgrass,C3,WLD,above ground,F,chamber,420/270,420,270,150, ,,,,,Blank et al 2006,5,K,-0.19,-0.2107
Bromus tectorum,cheatgrass,C3,WLD,above ground,F,chamber,420/270,420,270,150, ,,,,,Blank et al 2006,5,Mn,-0.191,-0.212
Bromus tectorum,cheatgrass,C3,WLD,above ground,F,chamber,420/270,420,270,150, ,,,,,Blank et al 2011,5,Ca,-0.0813,-0.0848
Bromus tectorum,cheatgrass,C3,WLD,above ground,F,chamber,420/270,420,270,150, ,,,,,Blank et al 2011,5,K,-0.1603,-0.1747
Bromus tectorum,cheatgrass,C3,WLD,above ground,F,chamber,420/270,420,270,150, ,,,,,Blank et al 2011,5,Mg,-0.3043,-0.3628
Bromus tectorum,cheatgrass,C3,WLD,above ground,F,chamber,420/270,420,270,150, ,,,,,Blank et al 2011,5,Mn,0.0505,0.0493
Bromus tectorum,cheatgrass,C3,WLD,above ground,F,chamber,420/270,420,270,150, ,,,,,Blank et al 2011,5,N,-0.125,-0.1335
Bromus tectorum,cheatgrass,C3,WLD,above ground,F,chamber,420/270,420,270,150, ,,,,,Blank et al 2011,5,P,-0.2917,-0.3449
Calluna vulgaris,heather shrub,C3,WLD,foliar,F,chamber,570/370,570,370,200, ,,,,,Woodin et al 1992,10,Ca,-0.09,-0.0943
Calluna vulgaris,heather shrub,C3,WLD,foliar,F,chamber,570/370,570,370,200, ,,,,,Woodin et al 1992,10,K,-0.1918,-0.2129
Calluna vulgaris,heather shrub,C3,WLD,foliar,F,chamber,570/370,570,370,200, ,,,,,Woodin et al 1992,10,Mg,-0.1722,-0.189
Calluna vulgaris,heather shrub,C3,WLD,foliar,F,chamber,570/370,570,370,200, ,,,,,Woodin et al 1992,10,N,-0.4103,-0.5281
Calluna vulgaris,heather shrub,C3,WLD,foliar,F,chamber,570/370,570,370,200, ,,,,,Woodin et al 1992,10,P,-0.3469,-0.426
Cercis canadensis,red bud tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,C,-0.011,-0.0111
Cercis canadensis,red bud tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,N,-0.1654,-0.1808
Cercis canadensis,red bud tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,P,-0.1319,-0.1414
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,B,-0.099,-0.1043
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,B,-0.0002,-0.0002
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,Ca,0,0
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,Ca,-0.062,-0.064
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,Cu,-0.059,-0.0608
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,Cu,-0.049,-0.0502
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,Fe,-0.03,-0.0305
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,Fe,0.081,0.0779
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,K,-0.017,-0.0171
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,K,-0.042,-0.0429
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,Mg,-0.05,-0.0513
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,Mg,-0.042,-0.0429
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,Mn,-0.171,-0.1875
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,Mn,-0.05,-0.0513
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,N,-0.01,-0.0101
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,N,-0.071,-0.0736
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,P,-0.079,-0.0823
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,P,-0.059,-0.0608
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,S,-0.119,-0.1267
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,S,-0.093,-0.0976
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,spring,,,,,Kuehny et al 1991,4,Zn,-0.213,-0.2395
Chrysanthemum morifolium,chrysanth,C3,WLD,foliar,F,greenhouse,675/350,675,350,325,winter,,,,,Kuehny et al 1991,4,Zn,-0.11,-0.1165
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,B,0.0975,0.093
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,Ca,-0.0627,-0.0648
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,Cu,0.0062,0.0062
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,Fe,-0.0376,-0.0383
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,K,-0.0333,-0.0339
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,Mg,-0.0263,-0.0267
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,Mn,-0.126,-0.1347
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,N,-0.1,-0.1054
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,Na,0,0
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,P,0,0
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,S,-0.0417,-0.0426
Citrus aurantium,orange tree,C3,CRP,foliar,F,OTC,700/400,700,400,300, ,33.4,-111.99,Arizona,USA,Penuelas et al 1997,2,Zn,-0.0087,-0.0087
Citrus madurensis,citrus tree,C3,CRP,foliar,F,chamber,900/300,900,300,600,old leaves,,,,,Keutgen & Chen 2001,5,Ca,0.023,0.0228
Citrus madurensis,citrus tree,C3,CRP,foliar,F,chamber,900/300,900,300,600,old leaves,,,,,Keutgen & Chen 2001,5,K,-0.2241,-0.2538
Citrus madurensis,citrus tree,C3,CRP,foliar,F,chamber,900/300,900,300,600,old leaves,,,,,Keutgen & Chen 2001,5,Mg,0,0
Citrus madurensis,citrus tree,C3,CRP,foliar,F,chamber,900/300,900,300,600,old leaves,,,,,Keutgen & Chen 2001,5,N,-0.1922,-0.2134
Citrus madurensis,citrus tree,C3,CRP,foliar,F,chamber,900/300,900,300,600,old leaves,,,,,Keutgen & Chen 2001,5,P,0.0625,0.0606
Cornus florida ,dogwood tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,C,0.0071,0.0071
Cornus florida ,dogwood tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,N,0.0252,0.0249
